date,avg_monthly_price
2005-01-01,5500
2005-02-01,5476
2005-03-01,5466
2005-04-01,5487
2005-05-01,5876
2005-06-01,5058
2005-07-01,4919
2005-08-01,5149
2005-09-01,4899
2005-10-01,4562
2005-11-01,4665
2005-12-01,3813
2006-01-01,4000
2006-02-01,4755
2006-03-01,4176
2006-04-01,3500
2006-05-01,6000
2006-06-01,4964
2006-07-01,4632
2006-08-01,4696
2006-09-01,4762
2006-10-01,4494
2006-11-01,4344
2006-12-01,4262
2007-01-01,4118
2007-02-01,3935
2007-03-01,4000
2007-04-01,4088
2007-05-01,4231
2007-06-01,4250
2007-07-01,4005
2007-08-01,4387
2007-09-01,4788
2007-10-01,5070
2007-11-01,4638
2007-12-01,4569
2008-01-01,4715
2008-02-01,5144
2008-03-01,5194
2008-04-01,5102
2008-05-01,5218
2008-06-01,4865
2008-07-01,4956
2008-08-01,4819
2008-09-01,5015
2008-10-01,5600
2008-11-01,5856
2008-12-01,6450
2009-01-01,6982
2009-02-01,7300
2009-03-01,7141
2009-04-01,7250
2009-05-01,7212
2009-06-01,7150
2009-07-01,8106
2009-08-01,6964
2009-09-01,6940
2009-10-01,6681
2009-11-01,6612
2009-12-01,6510
2010-01-01,6525
2010-02-01,6669
2010-03-01,6823
2010-04-01,6925
2010-05-01,7000
2010-06-01,7040
2010-07-01,7262
2010-08-01,8400
2010-09-01,9362
2010-10-01,9912
2010-11-01,10137
2010-12-01,10320
2011-01-01,10400
2011-02-01,10390
2011-03-01,10110
2011-04-01,10075
2011-05-01,10150
2011-06-01,10125
2011-07-01,10225
2011-08-01,10520
2011-09-01,9912
2011-10-01,9187
2011-11-01,8190
2011-12-01,8062
2012-01-01,8050
2012-02-01,7725
2012-03-01,8075
2012-04-01,7787
2012-05-01,7862
2012-06-01,7375
2012-07-01,6713
2012-08-01,6875
2012-09-01,7075
2012-10-01,6600
2012-11-01,6500
2012-12-01,6375
2013-01-01,6412
2013-02-01,6287
2013-03-01,6429
2013-04-01,6327
2013-05-01,6419
2013-06-01,6270
2013-07-01,5896
2013-08-01,6123
2013-09-01,6590
2013-10-01,7744
2013-11-01,11016
2013-12-01,10670
2014-01-01,10919
2014-02-01,9984
2014-03-01,9783
2014-04-01,10175
2014-05-01,10529
2014-06-01,11228
2014-07-01,10665
2014-08-01,10834
2014-09-01,10566
2014-10-01,10434
2014-11-01,9257
2014-12-01,9657
2015-01-01,9974
2015-02-01,9214
2015-03-01,9225
2015-04-01,9129
2015-05-01,8579
2015-06-01,8050
2015-07-01,7556
2015-08-01,7752
2015-09-01,8091
2015-10-01,8176
2015-11-01,8221
2015-12-01,7757
2016-01-01,7807
2016-02-01,7673
2016-03-01,8079
2016-04-01,8016
2016-05-01,8236
2016-06-01,8368
2016-07-01,8550
2016-08-01,8443
2016-09-01,8793
2016-10-01,9297
2016-11-01,8875
2016-12-01,8337
2017-01-01,7994
2017-02-01,7725
2017-03-01,7719
2017-04-01,7550
2017-05-01,7412
2017-06-01,7187
2017-07-01,7037
2017-08-01,6844
2017-09-01,7163
2017-10-01,7188
2017-11-01,7013
2017-12-01,6800
2018-01-01,6763
2018-02-01,6550
2018-03-01,6500
2018-04-01,6362
2018-05-01,6487
2018-06-01,6362
2018-07-01,7550
2018-08-01,7200
2018-09-01,7200
2018-10-01,7200
2018-11-01,6850
2018-12-01,6725
2019-01-01,6800
2019-02-01,7075
2019-03-01,7850
2019-04-01,7725
2019-05-01,7581
2019-06-01,7488
2019-07-01,7556
2019-08-01,8138
2019-09-01,8588
2019-10-01,9075
2019-11-01,10025
2019-12-01,9775
2020-01-01,10188
2020-02-01,10188
2020-03-01,10375
2020-04-01,10850
2020-05-01,10950
2020-06-01,10150
2020-07-01,9725
2020-08-01,9725
2020-09-01,10338
2020-10-01,10175
2020-11-01,10013
2020-12-01,9925
2021-01-01,10425
2021-02-01,10838
2021-03-01,12075
2021-04-01,10863
2021-05-01,10863
2021-06-01,5070
2021-07-01,4638
2021-08-01,4569
2021-09-01,4715
2021-10-01,5144
2021-11-01,5194
2021-12-01,5102
2022-01-01,5218
2022-02-01,4865
2022-03-01,4956
2022-04-01,4819
2022-05-01,5015
2022-06-01,5600
2022-07-01,5856
2022-08-01,6450
2022-09-01,6982
2022-10-01,7300
2022-11-01,7141
2022-12-01,7250
2023-01-01,6681
2023-02-01,6612
2023-03-01,6510
2023-04-01,6525
2023-05-01,6669
2023-06-01,6823
2023-07-01,6925
2023-08-01,7000
2023-09-01,7040
2023-10-01,7262
2023-11-01,8400
2023-12-01,16163
2024-01-01,13488
2024-02-01,13550
2024-03-01,15150
2024-04-01,15863
2024-05-01,15863
2024-06-01,15488
2024-07-01,15294
2024-08-01,15263
2024-09-01,14363
2024-10-01,13738
2024-11-01,13438
2024-12-01,12250
2025-01-01,11313
2025-02-01,11313
2025-03-01,14188
2025-04-01,14263
2025-05-01,14263
2025-06-01,14263
2025-07-01,16000
2025-08-01,15025
2025-09-01,15750
